district,sum_pop,mean_pop,max_pop,min_pop,std_pop
BAGH,317178.375,3.8600733280181885,43.87288284301758,0.77279132604599,3.2099366188049316
BHIMBER,315563.15625,2.2669765949249268,31.80043601989746,0.610798180103302,2.0396347045898438
HATTIAN BALA,185078.78125,2.322542667388916,17.422922134399414,0.45982638001441956,1.7859519720077515
HAVELI,124532.8671875,2.0195391178131104,13.256771087646484,0.6789115071296692,1.1385201215744019
KOTLI,631795.0,3.3342745304107666,91.63841247558594,0.474822998046875,3.9645397663116455
MIRPUR,280786.59375,2.966233015060425,40.071266174316406,0.37958431243896484,3.1831135749816895
MUZAFFARABAD,445563.4375,2.8148374557495117,78.0982437133789,0.18746183812618256,5.369353771209717
NEELUM,123944.0,0.3457072377204895,2.144214391708374,0.027844417840242386,0.2608877718448639
POONCH,436584.90625,5.143796920776367,69.94239044189453,1.2076760530471802,3.825552463531494
SUDHNOTI,259472.453125,3.7595441341400146,41.523677825927734,0.5643564462661743,2.583287000656128
AWARAN,132379.21875,0.04742645099759102,1.967971920967102,0.009431811980903149,0.06894427537918091
BARKHAN,109709.1171875,0.2711377739906311,2.9236903190612793,0.027864696457982063,0.19711218774318695
CHAGAI,116116.6640625,0.023019934073090553,0.5932033061981201,0.0027555811684578657,0.028036363422870636
DERA BUGTI,200935.1875,0.1705944538116455,6.180062294006348,0.00779737439006567,0.17471866309642792
GWADAR,195261.734375,0.15517184138298035,8.163498878479004,0.019790716469287872,0.24519245326519012
HARNAI,84089.0703125,0.2374947965145111,14.949256896972656,0.027622008696198463,0.5093320608139038
JAFFARABAD,347904.65625,1.707767367362976,75.85728454589844,0.12291184812784195,2.8655035495758057
JHAL MAGSI,119729.6953125,0.27356845140457153,2.9679856300354004,0.04879559203982353,0.16361235082149506
KACHHI,218068.296875,0.3554883599281311,22.84494400024414,0.02473149448633194,0.569872260093689
KALAT,262808.125,0.1655268371105194,11.020164489746094,0.014607759192585945,0.3362520933151245
KECH,452304.96875,0.16825251281261444,28.461416244506836,0.009948085993528366,0.5998361706733704
KHARAN,107868.7109375,0.0881391242146492,1.401715874671936,0.011762326583266258,0.08166619390249252
KHUZDAR,461192.375,0.1315649151802063,17.275663375854492,0.013810553587973118,0.28860601782798767
KILLA ABDULLAH,410260.09375,0.6504847407341003,33.17876434326172,0.04968630149960518,1.0594590902328491
KILLA SAIFULLAH,214466.828125,0.1483089029788971,11.772225379943848,0.01922980695962906,0.28113189339637756
KOHLU,109459.0,0.12334825843572617,3.1287128925323486,0.01209902111440897,0.19178420305252075
LASBELA,347241.71875,0.2210460752248764,69.64485168457031,0.021527115255594254,0.8443564176559448
LORALAI,275322.875,0.2909553349018097,6.925149917602539,0.043223340064287186,0.25069209933280945
MASTUNG,183460.390625,0.2782510817050934,12.989750862121582,0.019196605309844017,0.5255910158157349
MUSA KHEL,153454.90625,0.219582661986351,4.178948879241943,0.05200280249118805,0.13758118450641632
NASIRABAD,268153.3125,0.7265098094940186,5.298440456390381,0.05417119339108467,0.4838840663433075
NUSHKI,109065.578125,0.164296954870224,1.8431949615478516,0.011443942785263062,0.15042909979820251
PANJGUR,258171.8125,0.13067881762981415,11.526825904846191,0.013402718119323254,0.4319171607494354
PISHIN,404193.9375,0.7085304260253906,38.22976303100586,0.046019792556762695,1.223504900932312
QUETTA,837103.6875,2.6370785236358643,60.065975189208984,0.04731417074799538,7.745123386383057
SHEERANI,97408.484375,0.2804340422153473,1.405173420906067,0.05319428816437721,0.16498655080795288
SIBI,114147.3125,0.1993982344865799,25.6909122467041,0.0243851225823164,0.7233842015266418
WASHUK,119634.6171875,0.028879601508378983,7.984502792358398,0.005002529826015234,0.05956403538584709
ZHOB,223362.046875,0.15980170667171478,5.14883279800415,0.0204713623970747,0.1930236667394638
ZIARAT,89281.15625,0.23503823578357697,6.802338600158691,0.059430863708257675,0.2745431363582611
INDIAN OCCUPIED KASHMIR,45568.7421875,0.708766758441925,12.061108589172363,0.005569332279264927,1.2878332138061523
BAJAUR AGENCY,745565.6875,4.6673407554626465,46.952003479003906,0.3130519986152649,3.2444679737091064
FR BANNU,38633.3359375,0.3954889178276062,14.376002311706543,0.08371210098266602,0.49332839250564575
FR D.I.KHAN,47507.7421875,0.2426389753818512,1.8275554180145264,0.07691340148448944,0.13088583946228027
FR KOHAT,138418.140625,2.4572720527648926,45.8891716003418,0.610971212387085,2.016117572784424
FR LAKKI MARWAT,10938.267578125,0.501939594745636,1.3643590211868286,0.08682630956172943,0.3416106104850769
FR PESHAWAR,70025.578125,2.238740921020508,7.879222869873047,0.43234190344810486,1.1258020401000977
FR TANK,31911.994140625,0.2344229370355606,2.954697847366333,0.06455906480550766,0.2200150191783905
KURRAM AGENCY,616636.5,1.5947647094726562,50.62467956542969,0.12908680737018585,1.7411603927612305
MOHMAND AGENCY,495273.0,1.8444960117340088,38.211952209472656,0.20762236416339874,1.7241722345352173
N. WAZIRASTAN,482523.6875,0.836341142654419,13.225716590881348,0.04230131208896637,1.054304599761963
ORAKZAI AGENCY,292838.0625,1.7661488056182861,4.971526622772217,0.11169004440307617,0.972889244556427
S. WAZIRASTAN,553069.6875,0.7482084035873413,27.015987396240234,0.04418862611055374,0.9060190320014954
ISLAMABAD,1765543.25,16.256107330322266,127.47064971923828,0.864579439163208,15.74694538116455
ASTORE,108038.8828125,0.17066864669322968,5.640120506286621,0.015482689253985882,0.1893041580915451
DIAMIR,146115.984375,0.1718776971101761,3.8396899700164795,0.015225250273942947,0.17912958562374115
GHANCHE,93813.015625,0.09005311876535416,4.758725643157959,0.004397640936076641,0.21846768260002136
GHIZER,138112.15625,0.09195088595151901,5.0362677574157715,0.004978050943464041,0.1848507672548294
GILGIT,112527.578125,0.22708025574684143,11.266237258911133,0.013659512624144554,0.4766855537891388
HUNZA NAGAR,122291.1015625,0.06902098655700684,17.945297241210938,0.0036305594258010387,0.2933572828769684
SKARDU,238438.0625,0.10497631877660751,13.44186019897461,0.004454409703612328,0.27065780758857727
ABBOTTABAD,1402394.0,6.600930213928223,109.97868347167969,0.9270506501197815,10.555741310119629
BANNU,1066434.25,7.5506720542907715,172.25558471679688,0.16992105543613434,11.071356773376465
BATAGRAM,488137.90625,2.9512569904327393,39.83115005493164,0.2038174718618393,2.6629631519317627
BUNER,797967.375,3.782409429550171,49.7886848449707,0.5560293793678284,2.6329267024993896
CHARSADDA,1623145.75,13.54043197631836,90.55758666992188,0.8599628210067749,9.640813827514648
CHITRAL,502405.53125,0.2862176299095154,15.71473217010498,0.010251214727759361,0.5561849474906921
D I KHAN,1357876.25,1.5839872360229492,127.36611938476562,0.10494331270456314,3.778968095779419
HANGU,495363.0625,2.987426280975342,17.052988052368164,0.10271576046943665,1.806236982345581
HARIPUR,1094747.375,5.107003211975098,64.5073471069336,0.6028410792350769,6.461033821105957
KARAK,681542.75,2.1452198028564453,12.374637603759766,0.1378840059041977,1.3946137428283691
KOHAT,885583.3125,2.489285707473755,82.07627868652344,0.28516027331352234,4.370694160461426
UPPER KOHISTAN,299397.9375,0.4346167743206024,3.9078776836395264,0.011293932795524597,0.3278176188468933
LAKKI MARWAT,767003.6875,2.023313283920288,80.85218811035156,0.10944166034460068,2.6951217651367188
LOWER DIR,1305279.5,6.143098831176758,75.14461517333984,0.9080963134765625,6.230038166046143
MALAKAND PROTECTED AREA,720115.375,6.2471513748168945,53.871952056884766,0.6796683669090271,6.862144470214844
MANSEHRA,1546746.375,2.962122678756714,66.5941162109375,0.04941542446613312,4.410665035247803
MARDAN,2295727.0,11.539331436157227,114.47007751464844,1.1387370824813843,12.084066390991211
NOWSHERA,1412379.0,6.7388997077941895,85.05941009521484,0.4796121120452881,8.395658493041992
SHANGLA,690779.25,4.080690383911133,57.46277618408203,0.3257424831390381,2.0389323234558105
SWABI,1615530.625,9.206929206848145,74.47722625732422,0.6882746815681458,8.815302848815918
SWAT,1981306.875,3.0084710121154785,136.87069702148438,0.014356039464473724,5.345786094665527
TANK,374645.25,1.886839747428894,15.570035934448242,0.08701113611459732,1.289346694946289
TORDHER,271717.5,5.075416564941406,26.42888641357422,1.0319759845733643,2.1724679470062256
UPPER DIR,765810.9375,1.7455096244812012,25.882614135742188,0.021193476393818855,1.7115576267242432
ATTOCK,1955447.75,2.391326904296875,67.65260314941406,0.2695140838623047,3.5753676891326904
BAHAWALNAGAR,3059660.0,3.128377914428711,93.39949035644531,0.05725700035691261,3.94966721534729
BAHAWALPUR,3627539.5,1.3248943090438843,162.2786407470703,0.020715057849884033,5.078278064727783
BHAKKAR,1557006.25,1.5575824975967407,65.10924530029297,0.16839279234409332,2.0699422359466553
CHAKWAL,1628682.75,2.042804002761841,54.95779800415039,0.3398799002170563,2.5121195316314697
CHINIOT,1446735.25,4.716564178466797,106.68055725097656,1.198275089263916,6.925738334655762
D G KHAN,2460040.5,1.833977460861206,150.92738342285156,0.02661295235157013,5.608493804931641
FAISALABAD,8116790.5,11.624858856201172,259.666259765625,1.6149452924728394,27.63718605041504
GUJRANWALA,5080770.0,11.905143737792969,146.79165649414062,1.747370958328247,18.885557174682617
GUJRAT,3095071.25,8.236063003540039,88.19746398925781,0.8532872200012207,8.389833450317383
HAFIZABAD,1246232.0,4.649373531341553,87.97843933105469,1.0935494899749756,5.672091960906982
JHANG,2815248.25,3.8020312786102295,109.71247100830078,0.16154779493808746,5.63490104675293
JHELUM,1391819.875,3.2948098182678223,84.73088836669922,0.4686920642852783,5.305243968963623
KASUR,3499764.0,7.812129974365234,136.49208068847656,1.7317835092544556,10.092170715332031
KHUSHAB,1366251.875,1.745598316192627,66.6470718383789,0.13872703909873962,2.616875648498535
LAHORE,9339700.0,47.850746154785156,173.61651611328125,2.7912497520446777,43.661529541015625
LAYYAH,1683831.0,2.2980551719665527,139.777099609375,0.1523243933916092,3.8963053226470947
LODHRAN,1738048.875,5.653331279754639,159.780029296875,1.4068998098373413,6.939244270324707
MANDI BAHAUDDIN,1728467.75,5.306329250335693,89.20462036132812,1.1685564517974854,5.241760730743408
MIANWALI,1586413.625,2.2855265140533447,87.22259521484375,0.2240293323993683,3.4039130210876465
MULTAN,4662498.0,11.134536743164062,191.28453063964844,1.3945890665054321,22.794189453125
MUZAFARGARH,3937040.25,4.535311222076416,133.207275390625,0.3019687533378601,5.989869594573975
NANKANA SAHIB,1882509.125,5.798044681549072,95.9770736694336,1.1434805393218994,5.626485347747803
NAROWAL,1851616.875,6.875819206237793,126.25912475585938,2.307488203048706,6.278259754180908
OKARA,3320548.75,6.484851360321045,136.315673828125,1.572068214416504,8.054756164550781
PAKPATTAN,1918390.5,5.726162910461426,108.18020629882812,1.0438934564590454,6.468095302581787
R Y KHAN,4716827.0,3.243013620376587,139.9465789794922,0.03088516928255558,6.497289657592773
RAJANPUR,1678514.375,1.1787891387939453,126.58016204833984,0.006338825915008783,3.033539056777954
RAWALPINDI,4979794.0,7.983432769775391,131.92535400390625,0.568600058555603,15.413822174072266
SAHIWAL,2751039.5,7.332918167114258,103.9187240600586,1.51479172706604,8.509634017944336
SARGODHA,3983620.0,5.825308799743652,122.97681427001953,1.2717341184616089,8.345252990722656
SHEIKHUPURA,3077337.0,8.687422752380371,142.18630981445312,1.5577685832977295,10.885348320007324
SIALKOT,4057383.75,11.232725143432617,116.10528564453125,1.8937454223632812,12.61040210723877
T. T SINGH,2417562.5,6.749837875366211,134.6803741455078,1.4880762100219727,7.3329243659973145
VEHARI,3112257.25,5.99353551864624,116.80439758300781,1.2615164518356323,6.556403636932373
BADIN,1559945.125,2.2277579307556152,92.08634185791016,0.1195383071899414,1.9571467638015747
DADU,1596554.125,1.7921452522277832,155.78201293945312,0.029316840693354607,4.466211795806885
GHOTKI,1439864.25,1.9726356267929077,100.78267669677734,0.05193000286817551,3.9221348762512207
HYDERABAD,2136908.0,19.106660842895508,360.4464416503906,0.8061108589172363,51.37030029296875
JACOBABAD,1075266.375,3.5774478912353516,109.70719909667969,0.5994647741317749,5.179975986480713
JAMSHORO,849338.0625,0.684075117111206,142.0411834716797,0.025671180337667465,2.5658316612243652
KASHMORE,871008.625,3.2181270122528076,119.55450439453125,0.18153221905231476,5.363187789916992
KHAIRPUR,2229791.5,1.2513006925582886,168.51255798339844,0.015095994807779789,3.8628885746002197
LARKANA,1439253.5,6.851989269256592,182.28614807128906,0.44803932309150696,12.732851028442383
MATIARI,708722.75,4.4225239753723145,77.93207550048828,0.6367653608322144,4.560600280761719
MIRPURKHAS,1365799.0,3.7061028480529785,177.80499267578125,0.45980992913246155,6.548206329345703
NAUSHAHRO FEROZ,1553412.375,4.624324798583984,145.72085571289062,0.48227646946907043,5.975353717803955
SANGHAR,1952905.375,1.7157403230667114,146.70042419433594,0.015294491313397884,4.485348701477051
SHAHDAD KOT,1319900.125,2.164132595062256,149.18202209472656,0.030727654695510864,4.711198806762695
S. BENAZIRABAD,1579176.0,3.0766005516052246,99.914794921875,0.026154465973377228,4.276175498962402
SHIKARPHUR,1277475.875,4.522406578063965,147.65892028808594,0.4713023900985718,8.224302291870117
SUKKUR,1301465.25,2.236790180206299,186.31704711914062,0.0338650643825531,8.263206481933594
T. AYAR,719404.0625,4.1143364906311035,113.38789367675781,0.9484509825706482,5.755668640136719
T. M KHAN,651192.0625,3.2883007526397705,75.74729919433594,0.6291765570640564,3.0698137283325195
THARPARKAR,1301300.375,0.5978246331214905,20.808197021484375,0.06126721575856209,0.5415229201316833
SUJJAWAL,760195.1875,0.8854768872261047,81.90231323242188,0.045706696808338165,1.528290867805481
UMERKOT,953369.625,1.5591055154800415,75.26959991455078,0.08318506926298141,2.2143516540527344
KARACHI CENTRAL,2843387.75,417.8380126953125,690.6770629882812,22.974746704101562,149.3430938720703
KARACHI WEST,2260294.25,44.298648834228516,624.7186279296875,0.5822095274925232,70.49726104736328
MALIR CANTONMENT,193937.96875,24.008167266845703,271.5302734375,3.788734197616577,18.311477661132812
KORANGI CREEK CANTONMENT,134343.0,61.259918212890625,292.1839599609375,5.243175983428955,73.65245056152344
MANORA CANTONMENT,13963.87109375,40.126068115234375,77.270751953125,8.302661895751953,12.77843189239502
CLIFTON CANTONMENT,995141.875,224.43434143066406,504.5226135253906,9.610406875610352,152.28408813476562
KARACHI CANTONMENT,211364.828125,378.1123962402344,534.465576171875,192.2952117919922,85.74152374267578
FAISAL CANTONMENT,463452.125,111.72905731201172,348.31488037109375,5.494919776916504,96.4118881225586
KARACHI SOUTH,2073177.5,322.172119140625,595.8402099609375,18.36760139465332,119.7982177734375
PESHAWAR,3110161.75,20.484905242919922,147.9513702392578,1.7867261171340942,22.707717895507812
KHYBER AGENCY,758422.875,2.3166580200195312,200.07408142089844,0.09084456413984299,5.728368282318115
MALIR,2233844.0,7.410305500030518,527.6099243164062,0.028884077444672585,24.14268684387207
KHANEWAL,3102008.75,6.1229376792907715,95.58322143554688,1.4804046154022217,6.343013286590576
LOWER KOHISTAN,446326.125,1.7750800848007202,43.81108474731445,0.07993829995393753,1.5569894313812256
KORANGI,1492153.25,147.65023803710938,338.24658203125,9.308696746826172,94.2547607421875
KARACHI EAST,1226608.125,198.86642456054688,552.1717529296875,19.642305374145508,114.0993423461914
THATTA,801255.0,0.9911137223243713,84.71623992919922,0.09890958666801453,2.035684108734131
LEHRI,98185.5859375,0.2604440450668335,3.9053380489349365,0.03065415285527706,0.22297550737857819
SOHBATPUR,107661.7890625,1.4415643215179443,18.954330444335938,0.10054551810026169,1.0005236864089966
